NAME	DESCRIPTION	ctrl_1	ctrl_2	ctrl_3	exp_1	exp_2	exp_3
ENSMUSG00000116950		6.80986453619853	1.0336002400871	1.63512113645762	1.9547926021626	1.39253633480759	3.48057831027442
ENSMUSG00000116940		10.7012156997405	11.3696026409581	16.3512113645762	1.9547926021626	8.35521800884553	9.57159035325465
ENSMUSG00000116924		11.6740534906261	7.23520168060969	6.54048454583048	6.8417741075691	9.74775434365312	12.1820240859605
ENSMUSG00000023852		2192.77638065593	2344.20534451754	2245.83888092454	2169.81978840049	2169.57160963022	2161.43913068041
ENSMUSG00000048027		3781.42049317196	3823.28728808218	3782.03518862648	3539.15200621539	3478.55576434936	3650.25650290029
ENSMUSG00000116545		0	1.0336002400871	1.63512113645762	0	2.78507266961518	0
ENSMUSG00000116757		0	2.0672004801742	0	0	0	0.870144577568604
ENSMUSG00000116944		0	0	0.81756056822881	0.977396301081301	1.39253633480759	0
ENSMUSG00000116958		0.972837790885505	2.0672004801742	1.63512113645762	0	0	2.61043373270581
ENSMUSG00000060149		243.209447721376	248.064057620904	199.48477864783	206.230619528154	176.852114520564	213.185421504308
ENSMUSG00000096696		6.80986453619853	10.336002400871	14.7160902281186	14.6609445162195	8.35521800884553	10.4417349308232
ENSMUSG00000095990		68.0986453619853	58.9152136849646	58.0468003442455	33.2314742367642	32.0283357005745	33.065493947607
ENSMUSG00000116802		116.740534906261	140.569632651845	120.181403529635	94.8074412048862	84.9447164232629	117.469517971762
ENSMUSG00000072761		33.0764848901072	29.9744069625259	39.2429072749829	20.5253223227073	18.1029723524987	23.4939035943523
ENSMUSG00000116590		3.89135116354202	1.0336002400871	4.90536340937286	5.8643778064878	6.96268167403794	1.74028915513721
ENSMUSG00000043801		6.80986453619853	11.3696026409581	8.1756056822881	7.8191704086504	18.1029723524987	7.83130119811744
